date,event_info_number,event_name,event_link,header1,header2,odd1,odd2,datum
2023-08-15 16:07:33.907382,13724,Sme rodina,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/sme-rodina-MCZ78153234,- 5.01,+ 5.01,2.16,1.6,30.09. 07:00
2023-08-15 16:07:33.907382,14433,KDH,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/kdh-MCZ78153398,- 5.01,+ 5.01,2.01,1.7,30.09. 07:00
2023-08-15 16:07:33.907382,15238,SNS,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/sns-MCZ78153559,- 5.01,+ 5.01,2.68,1.4,30.09. 07:00
2023-08-15 16:07:33.907382,15244,SNS,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/sns-MCZ78153569,- 6.51,+ 6.51,1.6,2.16,30.09. 07:00
2023-08-15 16:07:33.907382,15259,Demokrati,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/demokrati-MCZ78154836,- 5.01,+ 5.01,1.06,6.97,30.09. 07:00
2023-08-15 16:07:33.907382,15260,Demokrati,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/demokrati-MCZ78154873,- 2.51,+ 2.51,1.88,1.8,30.09. 07:00
2023-08-15 16:07:33.907382,15289,Aliancia,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/aliancia-MCZ78155189,- 5.01,+ 5.01,1.08,6.21,30.09. 07:00
2023-08-15 16:07:33.907382,15290,Aliancia,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/aliancia-MCZ78155191,- 3.01,+ 3.01,2.16,1.6,30.09. 07:00
2023-08-15 16:07:33.907382,15339,"Modrí, Most – Híd",/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/modri-most-hid-MCZ78155215,- 5.01,+ 5.01,-1.0,40.0,30.09. 07:00
2023-08-15 16:07:33.907382,15394,"Modrí, Most – Híd",/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/modri-most-hid-MCZ78155217,- 1.51,+ 1.51,1.7,2.01,30.09. 07:00
2023-08-15 16:07:33.907382,15514,ĽS Naše Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/ls-nase-slovensko-MCZ78155336,- 5.01,+ 5.01,-1.0,30.0,30.09. 07:00
2023-08-15 16:07:33.907382,15516,ĽS Naše Slovensko,/sazeni/politika/slovensko-parlamentni-volby-2023-pocet-procent/ls-nase-slovensko-MCZ78155338,- 2.01,+ 2.01,1.65,2.08,30.09. 07:00
