date,Alexandria Ocasio-Cortez,Andrew Cuomo,Arnold Schwarzenegger,Bernie Sanders,Bill Gates,Chelsea Clinton,Donald Trump,Donald Trump Jr.,Dwayne Johnson,Elizabeth Warren,Eric Trump,Gavin Newsom,George Clooney,Hillary Clinton,Ivanka Trump,Joe Biden,Joe Kennedy III,John Kasich,Kamala Harris,Kanye West,Marco Rubio,Mark Zuckerberg,Meghan Markle,Michael Bloomberg,Michelle Obama,Mike Pence,Nikki Haley,Oprah Winfrey,Pete Buttigieg,Robert F. Kennedy Jr.,Ron DeSantis,Ted Cruz,Tim Scott,Vivek Ramaswamy,muž,žena
2023-07-08,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,,,1.1,6.0
2023-07-09,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,,,1.1,6.0
2023-07-10,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,,,1.1,6.0
2023-07-11,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,12.5,5.5,125.0,,,1.1,6.0
2023-07-12,125.0,300.0,100.0,175.0,140.0,175.0,3.1500000000000004,325.0,250.0,100.0,300.0,17.5,200.0,95.0,400.0,2.6,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,9.5,6.75,125.0,,,1.1,6.0
2023-07-13,125.0,300.0,100.0,175.0,140.0,175.0,3.2,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.7,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,9.0,8.0,125.0,,,1.1,6.0
2023-07-14,125.0,300.0,100.0,175.0,140.0,175.0,3.2,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.7,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,9.0,8.0,125.0,,,1.1,6.0
2023-07-15,125.0,300.0,100.0,175.0,140.0,175.0,3.2,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.7,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,9.0,8.0,125.0,,,1.1,6.0
2023-07-16,125.0,300.0,100.0,175.0,140.0,175.0,3.2,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.7,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,9.0,8.0,125.0,,,1.1,6.0
2023-07-17,125.0,300.0,100.0,175.0,140.0,175.0,3.2,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.7,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,9.0,8.0,125.0,,,1.1,6.0
2023-07-18,125.0,300.0,100.0,175.0,140.0,175.0,3.2,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.7,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,9.0,8.0,125.0,,,1.1,6.0
2023-07-19,125.0,300.0,100.0,175.0,140.0,175.0,3.2,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.7,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,9.0,8.0,125.0,,,1.1,6.0
2023-07-20,125.0,300.0,100.0,175.0,140.0,175.0,3.2,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.7,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,9.0,8.0,125.0,,,1.1,6.0
2023-07-21,125.0,300.0,100.0,175.0,140.0,175.0,3.1500000000000004,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.7750000000000004,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,10.0,8.0,125.0,,,1.1,6.0
2023-07-22,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.85,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,11.0,8.0,125.0,,,1.1,6.0
2023-07-23,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.85,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,11.0,8.0,125.0,,,1.1,6.0
2023-07-24,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.85,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,11.0,8.0,125.0,,,1.1,6.0
2023-07-25,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.85,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,11.0,8.0,125.0,,,1.1,6.0
2023-07-26,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.85,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,10.0,8.0,125.0,,,1.1,6.0
2023-07-27,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.85,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,10.0,8.0,125.0,,,1.1,6.0
2023-07-28,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,15.0,200.0,95.0,400.0,2.85,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,10.0,8.0,125.0,,,1.1,6.0
2023-08-18,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,150.0,300.0,18.0,200.0,100.0,400.0,2.7,100.0,125.0,30.0,200.0,125.0,250.0,250.0,125.0,22.0,70.0,50.0,200.0,100.0,15.0,15.0,150.0,66.0,15.0,1.1,5.75
2023-09-02,125.0,300.0,65.0,175.0,140.0,175.0,3.1,325.0,250.0,150.0,300.0,18.0,200.0,100.0,400.0,2.7,100.0,125.0,30.0,200.0,125.0,250.0,250.0,125.0,22.0,70.0,40.0,200.0,100.0,15.0,15.0,150.0,66.0,12.0,1.1,5.75
2023-09-03,125.0,300.0,65.0,175.0,140.0,175.0,3.1,325.0,250.0,150.0,300.0,18.0,200.0,100.0,400.0,2.7,100.0,125.0,30.0,200.0,125.0,250.0,250.0,125.0,22.0,70.0,40.0,200.0,100.0,15.0,15.0,150.0,66.0,12.0,1.1,5.75
2023-09-14,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,150.0,300.0,18.0,200.0,100.0,400.0,2.7,100.0,125.0,30.0,200.0,125.0,250.0,250.0,125.0,22.0,70.0,40.0,200.0,100.0,17.0,15.0,150.0,66.0,12.0,1.1,6.0
2023-09-15,125.0,300.0,100.0,175.0,140.0,175.0,3.1000000000000005,325.0,250.0,150.0,300.0,18.0,200.0,100.0,400.0,2.6999999999999997,100.0,125.0,30.0,200.0,125.0,250.0,250.0,125.0,22.0,70.0,40.0,200.0,100.0,17.0,15.0,150.0,66.0,12.0,1.0999999999999999,6.0
2023-09-17,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,150.0,300.0,18.0,200.0,100.0,400.0,2.7,100.0,125.0,30.0,200.0,125.0,250.0,250.0,125.0,22.0,70.0,40.0,200.0,100.0,17.0,15.0,150.0,66.0,12.0,1.1,6.0
2023-09-21,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,150.0,300.0,18.0,200.0,100.0,400.0,2.7,100.0,125.0,30.0,200.0,125.0,250.0,250.0,125.0,22.0,70.0,40.0,200.0,100.0,17.0,15.0,150.0,66.0,12.0,1.1,6.0
2023-09-26,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,150.0,300.0,18.0,200.0,100.0,400.0,2.7,100.0,125.0,30.0,200.0,125.0,250.0,250.0,125.0,22.0,70.0,40.0,200.0,100.0,17.0,15.0,150.0,66.0,12.0,1.1,6.0
2023-09-29,125.0,300.0,100.0,175.0,140.0,175.0,2.9,325.0,250.0,150.0,300.0,18.0,200.0,100.0,400.0,2.7000000000000006,100.0,125.0,30.0,200.0,125.0,250.0,250.0,125.0,22.0,70.0,40.0,200.0,100.0,17.0,15.0,150.0,66.0,12.0,1.1000000000000003,6.0
