date,Aliancia,Demokrati,Hlas,KDH,"Modrí, Most – Híd",OĽANO A PRIATELIA,Progresívne Slovensko,Republika,SNS,SaS,Sme rodina,Smer,ĽS Naše Slovensko
2023-08-12,500.0,500.0,1.725,40.0,700.0,3.25,1.02,4.2,35.0,20.0,33.0,-1.0,700.0
2023-08-13,500.0,500.0,1.75,40.0,700.0,3.25,1.02,4.2,35.0,20.0,33.0,-1.0,700.0
2023-08-14,500.0,500.0,1.7333333333333334,40.0,700.0,3.283333333333333,1.02,4.233333333333333,35.0,30.0,33.0,-1.0,700.0
2023-08-15,500.0,500.0,1.7,40.0,700.0,3.35,1.02,4.3,35.0,30.0,33.0,-1.0,700.0
2023-08-16,500.0,500.0,1.7,40.0,700.0,3.35,1.02,4.3,35.0,30.0,33.0,-1.0,700.0
2023-08-17,500.0,500.0,1.65,40.0,700.0,3.425,1.01,4.4,35.0,30.0,33.0,-1.0,700.0
2023-08-18,500.0,500.0,1.5,40.0,700.0,3.85,1.02,5.0,35.0,30.0,33.0,-1.0,700.0
2023-08-19,500.0,500.0,1.475,40.0,700.0,3.85,1.02,5.0,35.0,30.0,33.0,-1.0,700.0
2023-08-20,500.0,500.0,1.4249999999999998,37.5,700.0,3.925,1.02,4.75,35.0,27.5,36.5,-1.0,700.0
2023-08-21,500.0,500.0,1.375,35.0,700.0,4.15,1.02,5.0,35.0,25.0,40.0,-1.0,700.0
2023-08-22,500.0,500.0,1.35,35.0,700.0,4.4,1.02,5.75,35.0,25.0,40.0,-1.0,700.0
2023-08-23,500.0,500.0,1.35,35.0,700.0,4.5,1.02,6.0,35.0,25.0,40.0,-1.0,700.0
2023-08-24,500.0,500.0,1.335,35.0,700.0,4.625,1.02,6.5,35.0,25.0,40.0,-1.0,700.0
2023-08-25,500.0,500.0,1.32,32.5,700.0,4.55,1.02,7.25,35.0,23.5,40.0,-1.0,700.0
2023-08-26,500.0,500.0,1.35,30.0,700.0,4.5,1.02,7.0,35.0,22.0,40.0,-1.0,700.0
2023-08-27,500.0,500.0,1.35,30.0,700.0,4.5,1.02,7.0,35.0,22.0,40.0,-1.0,700.0
2023-08-28,500.0,500.0,1.35,30.0,700.0,4.5,1.02,7.0,35.0,21.0,40.0,-1.0,700.0
2023-08-29,500.0,500.0,1.35,30.0,700.0,4.5,1.02,7.0,35.0,20.0,40.0,-1.0,700.0
2023-08-30,500.0,500.0,1.35,30.0,700.0,4.35,1.02,7.0,35.0,20.0,40.0,-1.0,700.0
2023-08-31,500.0,500.0,1.375,30.0,700.0,4.025,1.02,7.0,35.0,20.0,40.0,-1.0,700.0
2023-09-01,500.0,325.0,1.4,30.0,700.0,3.85,1.02,7.0,35.0,20.0,40.0,-1.0,700.0
2023-09-02,500.0,150.0,1.45,33.0,700.0,3.6,1.03,6.0,35.0,25.0,40.0,-1.0,700.0
2023-09-03,500.0,150.0,1.57,35.0,700.0,3.0,1.03,6.0,35.0,22.5,40.0,-1.0,700.0
2023-09-04,500.0,125.0,1.65,35.0,700.0,2.8,1.03,5.75,35.0,20.0,40.0,-1.0,700.0
2023-09-05,500.0,100.0,1.6,35.0,700.0,2.9,1.03,6.5,35.0,25.0,50.0,-1.0,700.0
2023-09-06,500.0,100.0,1.565,35.0,700.0,2.9,1.0350000000000001,6.0,35.0,25.0,50.0,-1.0,700.0
2023-09-07,500.0,100.0,1.625,35.0,700.0,2.775,1.03,6.25,35.0,25.0,50.0,-1.0,700.0
2023-09-08,500.0,120.0,1.6666666666666667,35.0,700.0,2.75,1.0199999999999998,6.0,35.0,25.0,60.0,-1.0,700.0
2023-09-09,500.0,120.0,1.6833333333333333,35.0,700.0,2.75,1.0199999999999998,5.791666666666667,35.0,25.0,60.0,-1.0,700.0
2023-09-10,500.0,120.0,1.708181818181818,35.0,700.0,2.7363636363636363,1.0199999999999998,5.5,35.0,25.0,60.0,-1.0,700.0
2023-09-11,500.0,120.0,1.7,35.0,700.0,2.6999999999999997,1.0199999999999998,5.5,35.0,25.0,60.0,-1.0,700.0
2023-09-12,500.0,120.0,1.7,35.0,700.0,2.6999999999999997,1.0199999999999998,5.5,35.0,25.0,60.0,-1.0,700.0
2023-09-13,500.0,120.0,1.7,35.0,700.0,2.6999999999999997,1.0199999999999998,5.5,35.0,25.0,60.0,-1.0,700.0
2023-09-14,500.0,138.0,1.6329999999999998,43.0,700.0,3.4799999999999995,1.014,4.6,27.0,28.5,54.0,-1.0,700.0
2023-09-15,500.0,150.0,1.4000000000000001,50.0,700.0,3.799999999999999,1.01,5.5,35.0,30.833333333333332,50.0,-1.0,700.0
2023-09-16,500.0,150.0,1.4000000000000001,50.0,700.0,3.799999999999999,1.01,5.5,35.0,25.0,50.0,-1.0,700.0
2023-09-17,500.0,150.0,1.3409090909090908,45.45454545454545,700.0,4.118181818181818,1.01,5.513636363636365,33.63636363636363,29.545454545454547,50.0,-1.0,700.0
2023-09-18,500.0,150.0,1.25,40.0,700.0,4.5,1.01,5.6000000000000005,30.0,35.0,50.0,-1.0,700.0
2023-09-19,500.0,150.0,1.220833333333333,40.0,700.0,4.5,1.01,5.95,30.0,35.0,50.0,-1.0,700.0
2023-09-20,500.0,180.76923076923077,1.1999999999999997,40.0,700.0,4.8076923076923075,1.01,6.6923076923076925,30.0,35.0,50.0,-1.0,700.0
2023-09-21,354.54545454545456,272.72727272727275,1.1945454545454544,40.0,700.0,5.0,1.01,7.0,30.0,35.0,50.0,-1.0,700.0
2023-09-22,300.0,300.0,1.1999999999999997,40.0,700.0,5.0,1.01,7.0,30.0,35.0,56.666666666666664,-1.0,700.0
2023-09-23,300.0,300.0,1.2000000000000002,40.0,700.0,5.0,1.0099999999999998,7.0,30.0,35.0,60.0,-1.0,700.0
2023-09-24,300.0,300.0,1.2,40.0,700.0,5.0,1.01,7.0,30.0,35.0,60.0,-1.0,700.0
