date,Aliancia,Demokrati,Hlas,KDH,"Modrí, Most – Híd",OĽANO A PRIATELIA,Progresívne Slovensko,Republika,SNS,SaS,Sme rodina,Smer,ĽS Naše Slovensko
2023-08-30,3000.0,3000.0,33.0,750.0,4000.0,125.0,3.0,230.0,750.0,600.0,900.0,1.43,3500.0
2023-08-31,3000.0,3000.0,37.5,750.0,4000.0,90.0,3.0,240.0,750.0,600.0,900.0,1.4649999999999999,3500.0
2023-09-01,3000.0,2500.0,39.0,750.0,4000.0,70.0,3.0,250.0,750.0,600.0,900.0,1.45,3500.0
2023-09-02,3000.0,2000.0,41.5,750.0,4000.0,65.0,2.75,250.0,750.0,600.0,900.0,1.55,3500.0
2023-09-03,3000.0,2000.0,45.0,750.0,4000.0,50.0,2.45,250.0,750.0,600.0,800.0,1.5750000000000002,3500.0
2023-09-04,3000.0,2000.0,47.5,750.0,4000.0,55.0,2.55,250.0,750.0,600.0,800.0,1.565,3500.0
2023-09-05,3000.0,2000.0,45.0,750.0,4000.0,55.0,2.5,250.0,750.0,600.0,800.0,1.58,3500.0
2023-09-06,3000.0,2000.0,47.5,750.0,4000.0,62.5,2.475,255.0,750.0,600.0,800.0,1.59,3500.0
2023-09-07,3000.0,2000.0,52.5,750.0,4000.0,70.0,2.315,260.0,750.0,600.0,800.0,1.6600000000000001,3500.0
2023-09-08,3000.0,2000.0,55.0,750.0,4000.0,70.0,2.25,260.0,750.0,600.0,800.0,1.6500000000000001,3500.0
2023-09-09,3000.0,2000.0,57.083333333333336,750.0,4000.0,74.16666666666667,2.25,260.0,750.0,600.0,800.0,1.6708333333333332,3500.0
2023-09-10,3000.0,2000.0,60.0,750.0,4000.0,80.0,2.25,260.0,750.0,600.0,800.0,1.6727272727272726,3500.0
2023-09-11,3000.0,2000.0,60.0,750.0,4000.0,80.0,2.25,260.0,750.0,600.0,800.0,1.656666666666667,3500.0
2023-09-12,3000.0,2000.0,60.0,750.0,4000.0,80.0,2.25,260.0,750.0,600.0,800.0,1.6949999999999996,3500.0
2023-09-13,3000.0,2000.0,59.583333333333336,750.0,4000.0,80.0,2.2166666666666663,260.0,750.0,600.0,800.0,1.72,3500.0
2023-09-14,3000.0,2000.0,55.833333333333336,783.3333333333334,4000.0,91.66666666666667,2.183333333333333,261.6666666666667,650.0,708.3333333333334,800.0,1.7283333333333333,3500.0
2023-09-15,3000.0,2000.0,40.0,750.0,4000.0,100.0,2.1499999999999995,350.0,750.0,500.0,1000.0,1.75,3500.0
2023-09-16,3000.0,2000.0,45.0,750.0,4000.0,90.0,2.1791666666666667,350.0,750.0,550.0,1000.0,1.72,3500.0
2023-09-17,3000.0,2000.0,43.75,750.0,4000.0,85.0,2.2083333333333335,325.0,750.0,675.0,1000.0,1.6949999999999996,3500.0
2023-09-18,3000.0,2000.0,40.0,750.0,4000.0,90.0,2.25,300.0,750.0,750.0,1000.0,1.7,3500.0
2023-09-19,3000.0,2000.0,42.916666666666664,750.0,4000.0,84.58333333333333,2.2708333333333335,300.0,750.0,750.0,1000.0,1.6791666666666665,3500.0
2023-09-20,3000.0,2000.0,45.0,750.0,4000.0,82.6923076923077,2.2884615384615383,300.0,750.0,750.0,1000.0,1.6638461538461538,3500.0
2023-09-21,3000.0,2000.0,47.916666666666664,750.0,4000.0,81.25,2.1874999999999996,300.0,750.0,750.0,1000.0,1.7,3500.0
2023-09-22,3000.0,2333.3333333333335,40.0,816.6666666666666,4000.0,80.0,2.2199999999999998,333.3333333333333,750.0,750.0,1000.0,1.68,3833.3333333333335
2023-09-23,3000.0,2500.0,40.0,850.0,4000.0,80.0,2.2,350.0,750.0,750.0,1000.0,1.7000000000000002,4000.0
2023-09-24,3000.0,2500.0,40.0,850.0,4000.0,80.0,2.2,350.0,750.0,750.0,1000.0,1.7000000000000002,4000.0
2023-09-25,3000.0,2500.0,40.0,850.0,4000.0,80.0,2.2,350.0,750.0,750.0,1000.0,1.7,4000.0
2023-09-26,3000.0,2500.0,55.0,850.0,4000.0,108.26923076923077,2.072307692307692,350.0,750.0,750.0,1000.0,1.7973076923076925,4000.0
2023-09-27,3000.0,2500.0,72.20588235294117,850.0,4000.0,155.58823529411765,1.9423529411764713,350.0,750.0,750.0,1464.7058823529412,1.913235294117647,4000.0
