date,Adéla Šípová,Alena Schillerová,Andrej Babiš,Daniel Vávra,Danuše Nerudová,Dominik Hašek,Filip Grznár,Filip Turek,Ivan Bartoš,Jaromír Jágr,Jaroslav Bašta,Josef Středula,Karel Diviš,Karel Havlíček,Karel Janeček,Klára Laurenčíková,Lenka Bradáčová,Leoš Mareš,Marek Hilšer,Markéta Pekarová Adamová,Martin Stropnický,Miloš Vystrčil,Miloš Zeman,Miroslav Kalousek,Miroslava Němcová,Monika Babišová,Pavel Fischer,Pavel Novotný,Pavel Zítko,Petr Fiala,Petr Macinka,Petr Pavel,Tomio Okamura,Tomáš Sedláček,Vladimír Špidla,Václav Klaus st.,Vít Rakušan,Věra Jourová,Zdeněk Škromach,muž,žena
2023-10-03,,80.0,20.0,275.0,15.0,390.0,,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,
2023-10-04,,80.0,20.0,275.0,15.0,390.0,,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000002,,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,
2023-10-05,,80.0,20.0,275.0,15.0,390.0,,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000002,,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,
2023-10-06,,80.0,20.0,275.0,15.0,390.0,,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000002,,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,
2023-10-07,,80.0,20.0,275.0,15.0,390.0,,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.1,,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,
2023-10-08,,80.0,20.0,275.0,15.0,390.0,,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000002,,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,
2023-10-09,,80.0,20.0,275.0,15.0,390.0,,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000002,,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,
2023-10-10,,80.0,20.0,275.0,15.0,390.0,,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000002,,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,4.0
2023-10-11,,80.0,20.0,275.0,15.0,390.0,,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000002,,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,4.0
2023-10-12,,80.0,20.0,275.0,15.0,390.0,,300.0,40.0,68.0,355.0,65.0,210.0,85.0,212.10000000000002,,60.0,250.0,55.0,55.0,55.0,25.0,130.0,100.0,85.0,150.0,30.0,5000.0,1066.0,7.0,255.0,2.0,70.0,100.0,100.0,155.0,15.0,85.0,150.0,1.2000000000000002,4.0
